	Sample	Chao1	Shannon	Simpson	Otus
0	M352	93.0	3.33	0.93	93
1	M420	74.0	3.17	0.91	74
2	M485	56.0	3.11	0.91	56
3	M353	42.0	2.94	0.92	42
4	M474	59.0	2.61	0.85	59
5	M435	68.0	3.12	0.92	68
6	M480	59.0	2.93	0.9	59
7	M318	32.0	2.07	0.76	32
8	M487	38.0	2.72	0.89	38
9	M396	19.0	2.27	0.85	19
10	M516	23.0	2.41	0.87	23
11	M449	26.0	2.44	0.83	26
12	M374	21.0	2.31	0.82	21
13	M529	16.0	2.2	0.82	16
14	M444	18.0	2.36	0.87	18
15	M373	27.0	2.76	0.89	27
16	M357	36.0	2.94	0.91	36
17	M517	20.0	2.25	0.85	20
18	M511	17.0	1.81	0.76	17
19	M509	14.0	1.68	0.72	14
20	M476	9.0	1.28	0.62	9
21	M494	12.0	1.78	0.77	12
22	M479	7.0	0.79	0.5	7
23	M433	15.0	1.67	0.68	15
24	M488	11.0	1.1	0.5	11
25	M498	11.0	1.37	0.6	11
26	M501	11.0	1.41	0.68	11
27	M414	6.0	0.84	0.52	6
28	M386	9.0	1.58	0.69	9
29	M507	9.0	2.02	0.85	9
30	M390	9.0	1.94	0.83	9
31	M379	7.0	1.33	0.65	7
32	M484	7.0	1.52	0.71	7
33	M442	10.0	1.62	0.67	10
34	M524	9.0	1.92	0.82	9
35	M465	6.0	1.58	0.76	6
36	M375	7.0	1.79	0.81	7
37	M388	7.0	1.71	0.78	7
38	M367	8.0	1.87	0.82	8
39	M481	8.0	1.51	0.68	8
40	M417	10.0	1.96	0.82	10
41	M359	7.0	1.37	0.63	7
42	M413	6.0	1.02	0.48	6
43	M436	4.0	1.17	0.63	4
44	M473	6.0	1.75	0.82	6
45	M398	5.0	1.43	0.73	5
46	M366	4.0	1.13	0.61	4
47	M427	4.0	0.94	0.56	4
48	M430	4.0	1.14	0.65	4
49	M526	5.0	1.56	0.78	5
50	M471	1.0	-0.0	0.0	1
51	M399	3.0	0.63	0.36	3
52	M372	2.0	0.28	0.15	2
53	M530	3.0	0.62	0.33	3
54	M446	7.0	1.0	0.49	7
55	M477	6.0	0.94	0.52	6
56	M384	8.0	1.83	0.8	8
57	M443	4.0	0.89	0.52	4
58	M475	4.0	0.64	0.32	4
59	M450	3.0	0.45	0.22	3
60	M441	5.0	0.75	0.39	5
61	M463	4.0	0.32	0.13	4
62	M407	1.0	-0.0	0.0	1
63	M393	2.0	0.34	0.19	2
64	M513	2.0	0.01	0.0	2
65	M499	4.0	1.07	0.63	4
66	M458	5.0	0.51	0.25	5
67	M431	5.0	0.2	0.08	5
68	M452	7.0	1.33	0.68	7
69	M448	7.0	1.48	0.72	7
70	M428	10.0	1.66	0.7	10
71	M490	4.0	0.51	0.28	4
