Genus	M352	M420	M485	M353	M474	M435	M480	M318	M487	M396	M516	M449	M374	M529	M444	M373	M357	M517	M511	M509	M476	M494	M479	M433	M488	M498	M501	M414	M386	M507	M390	M379	M484	M442	M524	M465	M375	M388	M367	M481	M417	M359	M413	M436	M473	M398	M366	M427	M430	M526	M471	M399	M372	M530	M446	M477	M384	M443	M475	M450	M441	M463	M407	M393	M513	M499	M458	M431	M452	M448	M428	M490	H2O	Undetermined	BLEACH
Cutibacterium	7744	8716	3573	2806	2596	6753	5585	7075	2209	3963	5355	5394	1755	1957	1768	3268	3593	7478	14121	3589	6424	1214	413	3238	9652	3712	1192	1728	1123	512	503	2156	2938	6516	505	601	591	235	817	1087	1212	1511	3525	430	228	1169	1235	1969	1160	195	102	666	328	1069	2233	6378	209	0	124	237	334	1196	0	129	130	0	4938	1716	2071	170	0	112	13104	2540	38599
Novosphingobium	7974	4281	2533	3689	5562	4746	2049	445	1742	1311	1045	346	423	157	972	201	2856	813	1138	364	621	538	284	856	393	278	107	0	445	154	173	184	413	439	277	501	482	322	961	248	413	0	0	0	140	160	147	0	0	0	0	0	0	0	161	0	143	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	4336	690	63660
Sphingomonas	4210	1493	1497	985	2967	2541	1756	358	1182	514	448	282	146	395	373	131	574	557	460	215	344	423	188	446	238	162	116	0	244	0	102	0	144	264	289	361	330	265	221	184	231	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3091	476	15497
Sphingobium	4225	1414	1719	819	4181	2882	1990	511	998	414	565	283	170	188	310	160	732	606	492	199	386	339	156	476	276	191	107	0	245	111	104	0	171	202	216	292	425	357	323	213	231	0	0	0	125	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3306	602	17069
Sphingobium	2852	1713	1501	843	4318	2112	1667	110	1334	359	469	206	107	130	367	0	746	618	465	104	390	272	112	626	225	114	0	0	189	0	114	0	143	193	211	277	376	151	279	167	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2551	466	20802
Novosphingobium	2730	1051	1323	733	3274	2182	1393	254	822	294	360	256	135	0	293	0	601	430	346	146	247	251	126	380	174	135	0	0	200	0	0	0	0	195	141	182	323	205	186	108	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2544	385	22354
Sphingomonas	2179	1006	1037	1197	2355	1362	1315	221	833	344	343	204	103	114	235	0	376	307	332	142	210	275	111	380	148	0	0	0	140	0	102	0	0	191	150	211	344	149	248	138	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1748	355	13525
Novosphingobium	1796	910	1018	439	1791	1493	1027	213	614	220	217	179	0	0	145	114	345	375	253	125	154	182	0	215	150	0	0	0	127	0	0	0	0	0	133	119	169	117	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1573	248	14348
Novosphingobium	3313	1407	2944	787	3270	5981	3545	308	1848	287	432	168	118	0	742	711	554	1318	338	249	300	732	0	577	222	171	0	0	171	141	0	0	253	218	202	338	590	151	171	171	143	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7529	1140	38505
Novosphingobium	2420	663	989	518	2471	1357	1068	684	641	217	275	122	110	0	273	0	415	275	224	112	243	107	0	362	133	0	0	0	152	0	0	0	0	133	606	214	208	117	125	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1779	348	15675
Kinneretia	10596	1444	2949	834	1670	2444	3718	218	1410	1006	759	730	343	118	191	0	381	572	562	164	221	269	0	207	139	0	121	0	177	202	213	0	0	442	657	337	363	275	132	0	126	0	141	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2521	411	24252
Mitsuaria	967	622	1331	664	754	2744	5805	0	676	664	927	577	134	0	135	0	893	1159	538	117	106	123	0	0	0	0	175	0	182	529	0	112	0	669	0	0	475	117	420	0	0	237	124	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6598	535	8624
Rhodopseudomonas	308	337	376	0	161	814	9579	0	943	2146	3852	713	0	501	0	0	0	2739	4875	0	0	249	0	129	0	0	594	0	0	812	0	0	0	0	0	0	634	0	192	0	0	108	132	0	0	0	0	167	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	461	23959
Corynebacterium	201	415	0	156	0	3682	3525	237	0	103	219	360	1019	0	128	402	0	859	1903	3603	2947	501	433	2928	771	683	2912	1392	0	263	0	424	0	1017	0	0	0	0	0	0	0	182	554	138	0	155	212	106	0	128	0	124	0	0	172	2982	0	0	0	170	149	209	0	0	0	0	3781	3873	388	125	0	0	0	459	485
Staphylococcus	800	843	128	0	150	241	1046	576	295	122	1820	390	439	183	169	0	845	131	990	1739	819	0	0	13492	2415	706	1807	2086	0	0	0	0	0	440	0	0	0	0	0	0	106	112	531	0	0	329	0	135	0	0	0	0	120	0	227	277	0	128	0	0	0	133	0	0	0	0	2934	3537	229	0	0	0	1009	408	837
