Phenotype	Column	Statistic	P-value
Year	Acidibrevibacterium fodinaquatile	-0.2842927609270447	0.015509734625125367
Year	Corynebacterium sp. Marseille-Q3630	0.25949411097291664	0.027721881186677497
Year	Cutibacterium avidum	-0.2854435220702083	0.01507895893683676
Year	Enterobacter sp. E76	-0.2798615555654416	0.017268910328205055
Year	Novosphingobium pentaromativorans	-0.2339458163296845	0.04794063548643779
Year	Novosphingobium sp. THN1	-0.2529860828033013	0.032024911486415016
Year	Prevotella intermedia	-0.2854435220702083	0.01507895893683676
Year	Ramlibacter tataouinensis	-0.23759037281553275	0.04447210470978473
Year	Schlegelella thermodepolymerans	-0.2388052249774821	0.04336302245035306
Year	Sphingobium amiense	-0.26663938947256993	0.023569738093611955
Year	Sphingobium cloacae	-0.23395914126908152	0.04792756040803581
Year	Sphingobium sp. RAC03	-0.2769277766227863	0.018525567822285798
Year	Sphingomonas sanxanigenens	-0.2340152364532245	0.04787254923241521
Year	Sphingomonas sp. AP4-R1	-0.2658958989853964	0.023975587202954216
Year	Sphingomonas sp. C8-2	-0.27729690936304124	0.0183632678438407
Year	Sphingomonas sp. IC081	-0.24432975589561273	0.03860393173500964
Year	Sphingopyxis granuli	-0.23308428619684055	0.048792256030346134
Year	Thiomonas intermedia	-0.2798615555654416	0.017268910328205055
Year	Variovorax sp. HW608	-0.27993963007855016	0.017236492569353584
Year	Variovorax sp. PMC12	-0.278394666094114	0.017887782790747146
Year	Cladosporium uredinicola	-0.2325216698117047	0.049355078506589836
Year	Cryptococcus neoformans	-0.2854435220702083	0.01507895893683676
Year	Parastagonospora avenae	-0.2387400157414801	0.04342196801835627
Year	Propionibacterium phage LilBandit	-0.2854435220702083	0.01507895893683676
