Phenotype	Column	Statistic	P-value
Genero	Enterobacter sp. E76	371.5	0.009512601996404838
Genero	Hydrogenophaga pseudoflava	377.0	0.030252680922609902
Genero	Janthinobacterium svalbardensis	392.0	0.008277654695677804
Genero	Methylobacterium bullatum	392.0	0.008277654695677804
Genero	Ralstonia insidiosa	370.5	0.008609583529885985
Genero	Sphingobium sp. RAC03	373.5	0.011575686506434308
Genero	Sphingomonas sp. C8-2	381.0	0.040970426138823374
Genero	Streptomyces sp. ICC1	392.0	0.008277654695677804
Genero	Thiomonas intermedia	371.5	0.009512601996404838
Genero	Variovorax sp. HW608	379.0	0.03526540055074441
Genero	Variovorax sp. PMC12	372.5	0.01049914569387892
Genero	[Ruminococcus] gnavus	392.0	0.008277654695677804
Genero	Propionibacterium phage pa28	392.0	0.008277654695677804
Genero	Propionibacterium virus PHL067M01	392.0	0.008277654695677804
Genero	Propionibacterium virus PHL095N00	392.0	0.008277654695677804
CK_FEBRE	Acinetobacter baumannii	343.0	0.013561114139280671
CK_FEBRE	Acinetobacter bereziniae	343.0	0.013561114139280671
CK_FEBRE	Cutibacterium acnes	534.0	0.03115513734264997
CK_FEBRE	Novosphingobium sp. ABRDHK2	525.0	0.03902209343282855
CK_FEBRE	Prevotella melaninogenica	343.0	0.013561114139280671
CK_FEBRE	Sphingomonas melonis	528.0	0.030649187405268702
CK_FEBRE	Capnobotryella renispora	343.0	0.013561114139280671
CK_FEBRE	Cladosporium sp.	328.0	0.020260330009990862
CK_FEBRE	Fusarium solani	343.0	0.013561114139280671
CK_FEBRE	Fusarium vanettenii	343.0	0.013561114139280671
CK_FEBRE	Malassezia sympodialis	343.0	0.013561114139280671
CK_FEBRE	Penicillium chrysogenum	343.0	0.013561114139280671
CK_FEBRE	Phlebiopsis crassa	318.5	0.002230960611444422
CK_FEBRE	Phyllozyma subbrunnea	343.0	0.013561114139280671
CK_FEBRE	Pseudocercospora luzardii	343.0	0.013561114139280671
CK_TOSSE	Deinococcus puniceus	464.0	0.045468851683123764
CK_TOSSE	Thiomonas intermedia	594.0	0.03908486728445702
CK_TOSSE	Penicillium rubens	432.0	0.012583558864417208
CK_DOR_GARG	Acinetobacter junii	570.0	0.03857553363094826
CK_DOR_GARG	Janibacter melonis	570.0	0.03857553363094826
CK_DOR_GARG	Methylobacterium sp. ALBL_085	570.0	0.03857553363094826
CK_DOR_GARG	Microlunatus sagamiharensis	570.0	0.03857553363094826
CK_DOR_GARG	Minicystis rosea	570.0	0.03857553363094826
CK_DOR_GARG	Paraburkholderia aromaticivorans	589.0	0.015829693115436385
CK_DOR_GARG	Sphingobium sp. YBL2	639.5	0.02307213197871419
CK_DOR_GARG	Amylostereum laevigatum	570.0	0.03857553363094826
CK_DOR_GARG	Peniophora sp. 213 OA-2013	570.0	0.03857553363094826
CK_DOR_GARG	Watanabea reniformis	589.0	0.015829693115436385
CK_DIF_RESP	Achromobacter denitrificans	73.0	0.013882947889173785
CK_DIF_RESP	Acinetobacter bereziniae	94.0	0.01210362450978529
CK_DIF_RESP	Acinetobacter ursingii	94.0	0.01210362450978529
CK_DIF_RESP	Alicycliphilus denitrificans	73.0	0.013882947889173785
CK_DIF_RESP	Aquaspirillum sp. LM1	94.0	0.01210362450978529
CK_DIF_RESP	Bacillus aryabhattai	91.5	0.00012248100770987933
CK_DIF_RESP	Bdellovibrio sp. NC01	91.5	0.00012248100770987933
CK_DIF_RESP	Bradyrhizobium betae	94.0	0.01210362450978529
CK_DIF_RESP	Burkholderia cenocepacia	73.0	0.013882947889173785
CK_DIF_RESP	Burkholderia stagnalis	78.0	0.047986404046536243
CK_DIF_RESP	Cellulomonas sp. Y8	91.5	0.00012248100770987933
CK_DIF_RESP	Chryseobacterium indologenes	94.0	0.01210362450978529
CK_DIF_RESP	Chthoniobacter flavus	93.0	0.009312900043141606
CK_DIF_RESP	Comamonas testosteroni	78.0	0.037463515992904005
CK_DIF_RESP	Corynebacterium aquilae	91.5	0.00012248100770987933
CK_DIF_RESP	Corynebacterium diphtheriae	53.5	0.007883822350457226
CK_DIF_RESP	Corynebacterium striatum	49.5	0.004903593431538758
CK_DIF_RESP	Croceicoccus marinus	76.0	0.02099381201423421
CK_DIF_RESP	Curtobacterium sp. MR_MD2014	91.5	0.00012248100770987933
CK_DIF_RESP	Cutibacterium avidum	94.0	0.01210362450978529
CK_DIF_RESP	Deinococcus sp. NW-56	94.5	0.04264572133564552
CK_DIF_RESP	Deinococcus wulumuqiensis	91.5	0.00012248100770987933
CK_DIF_RESP	Delftia acidovorans	76.0	0.029529853601554794
CK_DIF_RESP	Dolosigranulum pigrum	49.0	0.008857774536321293
CK_DIF_RESP	Eikenella corrodens	91.5	0.00012248100770987933
CK_DIF_RESP	Gemmata massiliana	94.0	0.01210362450978529
CK_DIF_RESP	Gemmata obscuriglobus	94.0	0.01210362450978529
CK_DIF_RESP	Hydrogenophaga pseudoflava	68.0	0.0015742994047002207
CK_DIF_RESP	Hydrogenophaga sp. BA0156	71.0	0.006049589429074487
CK_DIF_RESP	Hymenobacter baengnokdamensis	91.5	0.00012248100770987933
CK_DIF_RESP	Janthinobacterium svalbardensis	94.0	0.01210362450978529
CK_DIF_RESP	Leptothrix cholodnii	73.0	0.013882947889173785
CK_DIF_RESP	Macrococcus caseolyticus	91.5	0.00012248100770987933
CK_DIF_RESP	Macrococcus sp. 'bovinus'	91.5	0.00012248100770987933
CK_DIF_RESP	Massilia sp. LPB0304	91.5	0.00012248100770987933
CK_DIF_RESP	Methylibium sp. Pch-M	73.0	0.013882947889173785
CK_DIF_RESP	Methylobacterium mesophilicum	94.0	0.01210362450978529
CK_DIF_RESP	Methylorubrum zatmanii	91.5	0.00012248100770987933
CK_DIF_RESP	Microlunatus phosphovorus	61.0	3.389243207805909e-08
CK_DIF_RESP	Mucilaginibacter mallensis	94.0	0.01210362450978529
CK_DIF_RESP	Negativicoccus massiliensis	91.5	0.00012248100770987933
CK_DIF_RESP	Novosphingobium sp. Gsoil 351	76.0	0.02099381201423421
CK_DIF_RESP	Novosphingobium sp. P6W	76.0	0.02099381201423421
CK_DIF_RESP	Novosphingobium sp. PP1Y	79.0	0.04206818837169989
CK_DIF_RESP	Pantoea sp. CCBC3-3-1	91.5	0.00012248100770987933
CK_DIF_RESP	Paracoccus sanguinis	94.0	0.01210362450978529
CK_DIF_RESP	Paracoccus sp. Arc7-R13	91.5	0.00012248100770987933
CK_DIF_RESP	Prevotella jejuni	91.5	0.00012248100770987933
CK_DIF_RESP	Prevotella melaninogenica	94.0	0.01210362450978529
CK_DIF_RESP	Prevotella scopos	91.5	0.00012248100770987933
CK_DIF_RESP	Propionibacterium sp. oral taxon 193	94.0	0.01210362450978529
CK_DIF_RESP	Proteus mirabilis	66.0	0.00027577652795326524
CK_DIF_RESP	Pseudomonas psychrotolerans	94.0	0.01210362450978529
CK_DIF_RESP	Pseudomonas putida	70.0	0.008989320706860992
CK_DIF_RESP	Ralstonia insidiosa	65.0	0.00021341447571344397
CK_DIF_RESP	Rhizobacter gummiphilus	73.0	0.013882947889173785
CK_DIF_RESP	Rhizorhabdus dicambivorans	76.0	0.02099381201423421
CK_DIF_RESP	Rothia dentocariosa	91.5	0.00012248100770987933
CK_DIF_RESP	Rothia nasimurium	91.5	0.00012248100770987933
CK_DIF_RESP	Solimonas sp. K1W22B-7	94.0	0.01210362450978529
CK_DIF_RESP	Sorangium cellulosum	66.0	0.0010425639394723988
CK_DIF_RESP	Sphaerotilus natans	74.0	0.023086317075000973
CK_DIF_RESP	Sphingobium baderi	75.0	0.026136904186501997
CK_DIF_RESP	Sphingobium japonicum	76.0	0.02099381201423421
CK_DIF_RESP	Sphingobium sp. CAP-1	79.0	0.04206818837169989
CK_DIF_RESP	Sphingomonas alpina	77.0	0.03329496578047057
CK_DIF_RESP	Sphingomonas sp. CL5.1	62.0	7.92251746653012e-06
CK_DIF_RESP	Sphingomonas sp. NBWT7	93.0	0.009312900043141606
CK_DIF_RESP	Sphingomonas wittichii	74.0	0.01597218548176221
CK_DIF_RESP	Sphingopyxis granuli	70.0	0.019223673628919167
CK_DIF_RESP	Sphingopyxis macrogoltabida	63.0	1.1221610663622379e-05
CK_DIF_RESP	Spirosoma sp. CJU-R4	91.5	0.00012248100770987933
CK_DIF_RESP	Staphylococcus capitis	91.5	0.00012248100770987933
CK_DIF_RESP	Streptococcus thermophilus	91.5	0.00012248100770987933
CK_DIF_RESP	Tardibacter chloracetimidivorans	94.0	0.01210362450978529
CK_DIF_RESP	Thauera sp. K11	71.0	0.006049589429074487
CK_DIF_RESP	Alternaria alternata	93.0	0.009312900043141606
CK_DIF_RESP	Arthrocladium fulminans	93.0	0.009312900043141606
CK_DIF_RESP	Aspergillus felis	91.5	0.00012248100770987933
CK_DIF_RESP	Aspergillus glaucus	91.5	0.00012248100770987933
CK_DIF_RESP	Aspergillus penicillioides	94.0	0.01210362450978529
CK_DIF_RESP	Aureobasidium pullulans	91.5	0.00012248100770987933
CK_DIF_RESP	Bipolaris sorokiniana	94.0	0.01210362450978529
CK_DIF_RESP	Blumeria graminis	93.0	0.009312900043141606
CK_DIF_RESP	Botrytis cinerea	91.5	0.00012248100770987933
CK_DIF_RESP	Cladosporium perangustum	91.5	0.00012248100770987933
CK_DIF_RESP	Clonostachys rosea	91.5	0.00012248100770987933
CK_DIF_RESP	Coniothyrium glycines	91.5	0.00012248100770987933
CK_DIF_RESP	Cryptocoryneum condensatum	73.0	0.008379946745051119
CK_DIF_RESP	Cyanodermella oleoligni	91.5	0.00012248100770987933
CK_DIF_RESP	Diaporthe sp. HYK-2013	93.0	0.009312900043141606
CK_DIF_RESP	Dinemasporium sp.	93.0	0.009312900043141606
CK_DIF_RESP	Dissoconium aciculare	91.5	0.00012248100770987933
CK_DIF_RESP	Exopassalora zambiae	91.5	0.00012248100770987933
CK_DIF_RESP	Exserohilum turcicum	93.0	0.009312900043141606
CK_DIF_RESP	Fuscoporia contigua	94.0	0.01210362450978529
CK_DIF_RESP	Glarea lozoyensis	91.5	0.00012248100770987933
CK_DIF_RESP	Hymenochaete boddingii	91.5	0.00012248100770987933
CK_DIF_RESP	Leptosphaeria maculans	93.0	0.009312900043141606
CK_DIF_RESP	Malassezia furfur	94.5	0.04264572133564552
CK_DIF_RESP	Marasmius tenuissimus	91.5	0.00012248100770987933
CK_DIF_RESP	Marasmius wynneae	94.0	0.01210362450978529
CK_DIF_RESP	Menegazzia subsimilis	93.0	0.009312900043141606
CK_DIF_RESP	Mensularia radiata	91.5	0.00012248100770987933
