Phenotype	Column	Statistic	P-value
Genero	Achromobacter denitrificans	394.0	0.15864225408799115
Genero	Achromobacter xylosoxidans	456.0	0.6162903113740984
Genero	Acidibrevibacterium fodinaquatile	389.5	0.10123358128815194
Genero	Acidovorax citrulli	419.0	0.5374831063955248
Genero	Acidovorax sp. 1608163	456.0	0.6162903113740984
Genero	Acinetobacter baumannii	428.5	0.3660139029995204
Genero	Acinetobacter bereziniae	428.5	0.3660139029995204
Genero	Acinetobacter dispersus	456.0	0.6162903113740984
Genero	Acinetobacter gyllenbergii	456.0	0.6162903113740984
Genero	Acinetobacter haemolyticus	437.0	0.6812453220461266
Genero	Acinetobacter indicus	456.0	0.6162903113740984
Genero	Acinetobacter johnsonii	458.5	0.7775069516864241
Genero	Acinetobacter junii	437.0	0.6812453220461266
Genero	Acinetobacter lwoffii	464.0	0.46085164456655414
Genero	Acinetobacter nosocomialis	456.0	0.6162903113740984
Genero	Acinetobacter pittii	456.0	0.6162903113740984
Genero	Acinetobacter radioresistens	456.0	0.6162903113740984
Genero	Acinetobacter schindleri	456.0	0.6162903113740984
Genero	Acinetobacter seifertii	456.0	0.6162903113740984
Genero	Acinetobacter sp. WCHA45	456.0	0.6162903113740984
Genero	Acinetobacter sp. WCHAc010052	456.0	0.6162903113740984
Genero	Acinetobacter ursingii	464.0	0.46085164456655414
Genero	Acinetobacter venetianus	456.0	0.6162903113740984
Genero	Actinoalloteichus sp. AHMU CJ021	436.0	0.6527935185222653
Genero	Actinomycetospora lutea	420.0	0.06614776340524443
Genero	Actinomycetospora sp. FXJ1.479	456.0	0.6162903113740984
Genero	Actinosynnema pretiosum	420.0	0.06614776340524443
Genero	Adhaeribacter radiodurans	456.0	0.6162903113740984
Genero	Aeromonas media	456.0	0.6162903113740984
Genero	Alicycliphilus denitrificans	393.0	0.15100195395166022
Genero	Aminobacter sp. MDW-2	456.0	0.6162903113740984
Genero	Aquabacterium olei	435.0	0.6248380141748174
Genero	Aquaspirillum sp. LM1	464.0	0.46085164456655414
Genero	Aquisphaera giovannonii	472.0	0.35792310619179646
Genero	Aureimonas altamirensis	456.0	0.6162903113740984
Genero	Bacillus aryabhattai	456.0	0.6162903113740984
Genero	Bacillus cereus	456.0	0.6162903113740984
Genero	Bdellovibrio sp. NC01	456.0	0.6162903113740984
Genero	Blastococcus saxobsidens	443.5	0.8914443074960265
Genero	Blastococcus sp.	420.0	0.06614776340524443
Genero	Bradyrhizobium betae	401.0	0.06889627415254658
Genero	Bradyrhizobium sp. SK17	456.0	0.6162903113740984
Genero	Brasilonema sennae	456.0	0.6162903113740984
Genero	Brevundimonas sp. 'scallop'	409.0	0.1889842540692973
Genero	Burkholderia cenocepacia	394.0	0.15864225408799115
Genero	Burkholderia stagnalis	420.5	0.5430294637772413
Genero	Byssovorax cruenta	456.0	0.6162903113740984
Genero	Calothrix sp. NIES-4105	420.0	0.06614776340524443
Genero	Cellulomonas sp. Y8	456.0	0.6162903113740984
Genero	Cellvibrio sp. KY-GH-1	456.0	0.6162903113740984
Genero	Chitinibacter sp. 2T18	420.0	0.06614776340524443
Genero	Chitinophaga pinensis	464.0	0.46085164456655414
Genero	Chroococcidiopsis thermalis	456.0	0.6162903113740984
Genero	Chryseobacterium indologenes	464.0	0.46085164456655414
Genero	Chryseobacterium shandongense	420.0	0.06614776340524443
Genero	Chthoniobacter flavus	464.0	0.46085164456655414
Genero	Citrobacter koseri	435.0	0.6248380141748174
Genero	Cloacibacterium normanense	464.0	0.46085164456655414
