Phenotype	Column	Statistic	P-value
CK_FEBRE	Cutibacterium acnes	534.0	0.03115513734264997
CK_FEBRE	Fusarium solani	343.0	0.013561114139280671
CK_DIF_RESP	Dolosigranulum pigrum	49.0	0.008857774536321293
CK_DIF_RESP	Eikenella corrodens	91.5	0.00012248100770987933
CK_DIF_RESP	Pseudomonas putida	70.0	0.008989320706860992
CK_DIF_RESP	Aspergillus felis	91.5	0.00012248100770987933
CK_DIF_RESP	Aspergillus penicillioides	94.0	0.01210362450978529
CK_DIF_RESP	Fuscoporia contigua	94.0	0.01210362450978529
CK_DIF_RESP	Pneumocystis murina	91.5	0.00012248100770987933
CK_DIF_RESP	Schizophyllum commune	94.0	0.01210362450978529
CK_DIARREIA	Acinetobacter dispersus	234.0	0.025319171491001782
CK_DIARREIA	Exophiala xenobiotica	186.0	0.028043037117660354
CK_VOMITO	Fusarium solani	286.0	0.004757204577912913
CK_VOMITO	Rhinovirus B	312.0	0.04981624291531539
CK_CEFALEIA	Corynebacterium segmentosum	278.0	0.04483519665729501
CK_CEFALEIA	Moraxella catarrhalis	544.0	0.001958703817509629
CK_CEFALEIA	Exophiala xenobiotica	314.5	0.033568212309972714
CK_CORIZA	Prevotella intermedia	573.5	0.04506760604684991
CK_ERUPCAO_CUT	Prevotella intermedia	1.0	7.776084503401031e-06
CK_MIALGIA	Exophiala xenobiotica	402.0	0.04415024325224111
CK_DOR_ABDOM	Corynebacterium aurimucosum	130.0	0.022566969971806686
CK_DOR_ABDOM	Dolosigranulum pigrum	61.0	0.000536239364108622
CK_DOR_ABDOM	Rhinovirus B	147.5	0.0020515581015106404
CK_DOR_OSTEOMUSC	Staphylococcus epidermidis	32.0	0.04515277097309492
CK_DOR_OSTEOMUSC	Streptococcus pneumoniae	65.0	0.018039365570036905
CK_DOR_OSTEOMUSC	Fuscoporia contigua	63.0	0.0020505371299732993
CK_OUTROS	Rhinovirus B	120.0	0.0006583371695572323
CK_DOEN_CARDIO	Staphylococcus aureus	264.0	0.031436700197601614
CK_DOEN_NEURO	Corynebacterium aurimucosum	4.0	0.0015130199357107582
CK_DOEN_NEURO	Dolosigranulum pigrum	2.0	0.03756442895013348
CK_Neoplasia_sólida_ou_hematologica	Moraxella catarrhalis	4.0	0.024837057229672877
CK_DIABETES	Malassezia restricta	60.0	0.007719521086506042
CK_DIABETES	Totivirus sp.	150.0	0.04471101705889061
