Phenotype	Column	Statistic	P-value
Genero	Acinetobacter dispersus	456.0	0.6162903113740984
Genero	Acinetobacter johnsonii	458.5	0.7775069516864241
Genero	Corynebacterium aurimucosum	400.0	0.21072993895772418
Genero	Corynebacterium segmentosum	406.0	0.5609646631468607
Genero	Cutibacterium acnes	518.5	0.3430185420789479
Genero	Dolosigranulum pigrum	507.0	0.28720415643085107
Genero	Eikenella corrodens	420.0	0.06614776340524443
Genero	Haemophilus influenzae	437.0	0.6812453220461266
Genero	Moraxella catarrhalis	407.0	0.3980517831704552
Genero	Neisseria mucosa	456.0	0.6162903113740984
Genero	Prevotella intermedia	437.0	0.6812453220461266
Genero	Pseudomonas putida	437.0	0.7820405646565508
Genero	Staphylococcus aureus	442.5	0.9397026660162517
Genero	Staphylococcus epidermidis	357.5	0.19749145285123715
Genero	Streptococcus pneumoniae	408.0	0.17775196277244132
Genero	Aspergillus felis	456.0	0.6162903113740984
Genero	Aspergillus flavus	464.0	0.46085164456655414
Genero	Aspergillus penicillioides	464.0	0.46085164456655414
Genero	Cladosporium herbarum	428.5	0.3660139029995204
Genero	Cryptococcus neoformans	472.0	0.35792310619179646
Genero	Exophiala xenobiotica	439.5	0.8674216070413939
Genero	Fusarium solani	464.0	0.46085164456655414
Genero	Fuscoporia contigua	464.0	0.46085164456655414
Genero	Malassezia restricta	477.0	0.6972230128792989
Genero	Pneumocystis murina	456.0	0.6162903113740984
Genero	Schizophyllum commune	427.5	0.34132919701420184
Genero	Betacoronavirus 1	427.5	0.34132919701420184
Genero	Human alphaherpesvirus 1	420.0	0.06614776340524443
Genero	Primate bocaparvovirus 1	456.0	0.6162903113740984
Genero	Rhinovirus B	456.0	0.6162903113740984
Genero	Rotavirus A	445.5	0.9455958310418635
Genero	Totivirus sp.	464.0	0.46085164456655414
CK_FEBRE	Acinetobacter dispersus	367.5	0.08647626549366563
CK_FEBRE	Acinetobacter johnsonii	347.0	0.17718853944568902
CK_FEBRE	Corynebacterium aurimucosum	370.0	0.4785791555672715
CK_FEBRE	Corynebacterium segmentosum	349.0	0.5017702563925759
CK_FEBRE	Cutibacterium acnes	534.0	0.03115513734264997
CK_FEBRE	Dolosigranulum pigrum	351.0	0.4146617216156352
CK_FEBRE	Eikenella corrodens	367.5	0.08647626549366563
CK_FEBRE	Haemophilus influenzae	384.5	0.7693713926782692
CK_FEBRE	Moraxella catarrhalis	355.0	0.39480046728615104
CK_FEBRE	Prevotella intermedia	352.0	0.09803202410880252
CK_FEBRE	Pseudomonas putida	386.0	0.8763109254312064
CK_FEBRE	Staphylococcus aureus	380.0	0.8475808861864031
CK_FEBRE	Staphylococcus epidermidis	373.0	0.7654259611266473
CK_FEBRE	Streptococcus pneumoniae	350.0	0.08216839501266285
CK_FEBRE	Aspergillus felis	400.0	0.592156028908923
CK_FEBRE	Aspergillus flavus	408.0	0.4301349919333385
CK_FEBRE	Aspergillus penicillioides	408.0	0.4301349919333385
CK_FEBRE	Cladosporium herbarum	375.0	0.400986123523958
CK_FEBRE	Cryptococcus neoformans	416.0	0.3249655600082786
CK_FEBRE	Exophiala xenobiotica	355.0	0.39480046728615104
CK_FEBRE	Fusarium solani	343.0	0.013561114139280671
CK_FEBRE	Fuscoporia contigua	375.0	0.400986123523958
CK_FEBRE	Malassezia restricta	474.0	0.21044271465741338
CK_FEBRE	Pneumocystis murina	400.0	0.592156028908923
CK_FEBRE	Schizophyllum commune	408.0	0.4301349919333385
CK_FEBRE	Betacoronavirus 1	408.0	0.4301349919333385
CK_FEBRE	Primate bocaparvovirus 1	400.0	0.592156028908923
CK_FEBRE	Rhinovirus B	367.5	0.08647626549366563
CK_FEBRE	Rotavirus A	391.0	0.9854159125034488
CK_FEBRE	Totivirus sp.	375.0	0.400986123523958
CK_TOSSE	Acinetobacter dispersus	512.0	0.3401043685615802
CK_TOSSE	Acinetobacter johnsonii	466.0	0.10806570093983262
CK_TOSSE	Corynebacterium aurimucosum	510.0	0.6192180362227836
CK_TOSSE	Corynebacterium segmentosum	435.0	0.20778639047988912
CK_TOSSE	Cutibacterium acnes	539.0	0.8904049450135008
CK_TOSSE	Dolosigranulum pigrum	509.0	0.7481669607379018
CK_TOSSE	Eikenella corrodens	544.5	0.3247557654026184
CK_TOSSE	Haemophilus influenzae	544.0	0.5758912679894062
CK_TOSSE	Moraxella catarrhalis	537.0	0.8644226965863724
CK_TOSSE	Prevotella intermedia	545.0	0.5515183792990419
CK_TOSSE	Pseudomonas putida	544.0	0.7054659757739206
CK_TOSSE	Staphylococcus aureus	630.5	0.1418571637522794
CK_TOSSE	Staphylococcus epidermidis	511.0	0.8186441603189092
CK_TOSSE	Streptococcus pneumoniae	545.0	0.5515183792990419
CK_TOSSE	Aspergillus felis	512.0	0.3401043685615802
CK_TOSSE	Aspergillus flavus	496.0	0.16711609563899077
CK_TOSSE	Aspergillus penicillioides	529.0	0.9825045551530527
CK_TOSSE	Cladosporium herbarum	528.0	1.0
CK_TOSSE	Cryptococcus neoformans	513.5	0.6133753920747909
CK_TOSSE	Exophiala xenobiotica	545.0	0.7403045428935079
CK_TOSSE	Fusarium solani	528.0	1.0
CK_TOSSE	Fuscoporia contigua	496.0	0.16711609563899077
CK_TOSSE	Malassezia restricta	488.0	0.6009832621294517
CK_TOSSE	Pneumocystis murina	512.0	0.3401043685615802
CK_TOSSE	Schizophyllum commune	529.0	0.9825045551530527
