	PC1	PC2	PC3
M352	-0.3884511500300222	0.14743185149811636	-0.17135534072935882
M420	-0.1567007041610094	0.06416913835195721	-0.12000195639832649
M485	-0.42480104760387183	0.13742745470428097	-0.13855938549597982
M353	-0.03744128657846247	0.14643357567174797	-0.19651053174261246
M474	-0.40661392225286525	0.14003068707426505	-0.19241271175540833
M435	-0.3608663520865326	0.09429211970833179	-0.08197057616557239
M480	-0.156131198106153	-0.16062540504936004	-0.10886082973162087
M318	0.08932881856623988	-0.28270603525391746	-0.06082450680762899
M487	-0.43925523015454815	0.13594127892870245	-0.11773004692054043
M396	-0.38374126730239616	-0.007412743618365339	0.13402094914916476
M516	-0.23199692340712733	0.0035533440592664806	0.14919500770479477
M449	-0.1534511378439358	-0.16147237860442906	0.19733087123448534
M374	0.006453103402697708	-0.2060593550202107	-0.0030536032814136175
M529	-0.2336431609450765	-0.01430430883601637	0.16434489591862034
M444	-0.344018237317351	0.07744693950016543	-0.01950006709700855
M373	-0.1499041604651225	-0.024495680899353847	0.1426786866171671
M357	-0.315737112157718	0.0947906421045665	-0.05146626652158571
M517	-0.18362200392541136	-0.1874052330716332	0.14155700612843175
M511	-0.032546230699082725	-0.27469146184829535	0.1987167507243791
M509	0.12049726877510983	-0.2306557136329512	0.12170739269295569
M476	0.09630983956377938	-0.30388301221828545	0.07250104824625125
M494	0.005805531928688151	-0.21612571146568782	-0.2204951049555605
M479	0.36660103710384007	-0.2796234864303201	-0.37142702546498646
M433	0.12254003260875036	0.24590943936569004	0.1337701503805405
M488	0.24432155178750056	-0.27301898641174827	-0.024648759591825366
M498	0.1919963215073021	-0.2774290165242089	-0.009421134107450388
M501	0.24291452436660177	-0.21747731851939692	-0.10445112147850932
M414	0.34526882049428137	-0.29855803139432663	-0.24849148293064438
M386	-0.11710513846807795	-0.11315341588614374	-0.10091449455658293
M507	-0.13177172505075738	-0.09772480445363001	0.02349532803761867
M390	-0.01781596214170069	-0.15620279750525468	-0.19703709132240013
M379	0.1271753571575072	0.14237568940343592	-0.18911887556712212
M484	-0.07328489016383109	-0.2113722689207787	0.22059334472551131
M442	-0.10045967843551137	-0.09848290645001859	0.3179365434272447
M524	-0.3651562209501063	0.14652075519004842	-0.1010710492116294
M465	-0.4222130177926332	0.09477705102709758	-0.028484304057413742
M375	-0.44897681462382305	0.10923728673225329	-0.06580683821060478
M388	-0.40962775229468984	0.1504885084507792	-0.06996123563147937
M367	-0.39633773058148486	0.05743335083844322	-0.057546429074178444
M481	-0.2160010530369215	0.07038900245229758	-0.04371562620344941
M417	-0.3445659973034604	0.02638912015933784	0.11762649227017467
M359	0.03217764921998518	-0.22066513408197674	0.3067389445806378
M413	0.07094138525821875	-0.12478024748754683	0.363055765717443
M436	0.05016759989471379	-0.2366174676022566	0.2711282021676834
M473	-0.3814761176482605	0.06012180142195085	0.04395481526514966
M398	0.14742201800023325	-0.19008522667390143	0.162586729376836
M366	0.04559770683810881	-0.2647356381697928	0.2717077419217772
M427	0.15509890099224127	-0.2646149243859253	0.14226760371601974
M430	0.2899530976730601	-0.14354524796086104	0.15396391544201513
M526	0.12003230924910208	0.1925097361209278	-0.23274975858341063
M471	0.019767862219598562	-0.07925273568791023	0.3456949367435469
M399	0.26535910603509705	0.3720810208844477	0.3102413563504005
M372	0.30515680854786675	0.5223088768390451	0.1847296964435858
M530	0.04210271849214775	-0.029427195580086895	0.17629242979799722
M446	0.14394586955612454	0.08787140795643705	-0.12844842732825107
M477	0.17392662756877522	-0.32777661516411005	0.25012641593334123
M384	0.07587875130405827	0.13946968748464036	-0.14193084361735192
M443	0.3593570526445848	-0.2616505960781188	-0.18662742781916256
M475	0.2532285151594922	-0.05776270213652856	-0.36656406633602345
M450	0.32818446923475064	-0.2980205400485576	-0.21005710249218537
M441	0.22034202996499871	-0.0982422583095541	-0.20038144590252577
M463	0.3354540461800852	0.5376902845670004	0.15005204358613525
M407	0.378005683898399	0.5930494002346668	0.12550771273967037
M393	0.29173053026255363	0.5010450356825126	0.21256352347366567
M513	0.18327003577963208	0.1339724354387954	-0.43080865414518527
M499	0.14002117730013075	0.15915632254148865	-0.3719589290755608
M458	0.3670061314032754	0.41595652975477687	0.1634396910881947
M431	0.3904524622544878	0.5336047298168713	0.13148159187775307
M452	0.08574791962201532	0.04269778400746365	-0.046437960650522844
M448	0.2568946703495555	-0.14613994993132182	-0.18710906525776844
M428	0.14445182928325337	0.16774112541407016	-0.22820705519845158
M490	0.1928260520791011	0.2918831379269045	-0.074890452061899
